gameid,gamedate,home_teamid,away_teamid,home_win,away_win,home_points,away_points,home_opponentscore,away_opponentscore,home_assists,away_assists,home_blocks,away_blocks,home_steals,away_steals,home_fieldgoalsattempted,away_fieldgoalsattempted,home_fieldgoalspercentage,away_fieldgoalspercentage,home_threepointersattempted,away_threepointersattempted,home_threepointerspercentage,away_threepointerspercentage,home_freethrowsattempted,away_freethrowsattempted,home_freethrowspercentage,away_freethrowspercentage,home_reboundstotal,away_reboundstotal,home_foulspersonal,away_foulspersonal,home_turnovers,away_turnovers,home_game_number,away_game_number,home_win_avg_prev5,away_win_avg_prev5,home_points_avg_prev5,away_points_avg_prev5,home_opponent_points_avg_prev5,away_opponent_points_avg_prev5,home_assists_avg_prev5,away_assists_avg_prev5,home_blocks_avg_prev5,away_blocks_avg_prev5,home_steals_avg_prev5,away_steals_avg_prev5,home_fieldgoalsattempted_avg_prev5,away_fieldgoalsattempted_avg_prev5,home_fieldgoalspercentage_avg_prev5,away_fieldgoalspercentage_avg_prev5,home_threepointersattempted_avg_prev5,away_threepointersattempted_avg_prev5,home_threepointerspercentage_avg_prev5,away_threepointerspercentage_avg_prev5,home_freethrowsattempted_avg_prev5,away_freethrowsattempted_avg_prev5,home_freethrowspercentage_avg_prev5,away_freethrowspercentage_avg_prev5,home_reboundstotal_avg_prev5,away_reboundstotal_avg_prev5,home_foulspersonal_avg_prev5,away_foulspersonal_avg_prev5,home_turnovers_avg_prev5,away_turnovers_avg_prev5
22100120,2021-11-04,1610612737,1610612762,false,true,98,116,116,98,18,30,4,4,11,6,82,81,0.427,0.506,28,41,0.25,0.415,26,23,0.808,0.739,32,46,24,20,9,17,6,7,0.8,0.6,115.2,107.8,98.6,101,27.8,18.8,6,5.6,9.8,8.2,91.8,87.2,0.46580000000000005,0.43099999999999994,34.8,43,0.40119999999999995,0.32999999999999996,17.8,22,0.8560000000000001,0.8358000000000001,49.4,49.4,19,18.6,14,17
22100121,2021-11-04,1610612748,1610612738,false,true,78,95,95,78,18,16,0,4,8,7,81,78,0.346,0.397,41,41,0.22,0.39,19,20,0.684,0.85,45,46,19,16,18,16,7,8,1,0.6,116.6,117,97.4,111.6,24.2,27.2,2.8,8.6,7.8,9.2,91.2,98,0.471,0.43520000000000003,33.8,43.4,0.3282,0.28280000000000005,23.2,23.6,0.8486,0.7798,50.6,51.2,20.4,24.2,14.4,13
22100122,2021-11-04,1610612756,1610612745,true,false,123,111,111,123,29,25,8,4,12,4,93,88,0.473,0.432,31,32,0.452,0.344,23,28,0.913,0.857,46,43,24,21,12,19,7,7,0.6,0,107.4,102.4,97.2,116,27,21,3.8,3.8,9.6,8.4,87.4,87.6,0.46980000000000005,0.4324,30.4,35,0.3236,0.304,20.2,25.4,0.7709999999999999,0.5983999999999999,50,48.4,16.4,21.4,15.8,21.4
22100119,2021-11-04,1610612765,1610612755,false,true,98,109,109,98,21,22,2,3,6,8,87,83,0.402,0.494,36,32,0.306,0.375,19,22,0.895,0.682,41,49,18,17,11,15,6,6,0.6,0.4,102.8,109.2,105.4,109.4,22.6,22.4,6.2,7.8,7.8,9.6,87.6,87.4,0.425,0.45859999999999995,35.8,33.8,0.2792,0.37839999999999996,24.2,21.4,0.7888,0.7926,45.2,42.4,18,17.2,15.2,14.2
22100123,2021-11-04,1610612747,1610612760,false,true,104,107,107,104,22,23,5,2,8,7,94,87,0.415,0.425,33,41,0.364,0.366,17,26,0.824,0.692,49,50,21,16,14,16,10,6,0.8,0,110.6,92.6,107.2,112.6,25.2,19.4,6.8,4,10.2,7.2,88.6,90.6,0.48240000000000005,0.38079999999999997,29.4,41.6,0.3896,0.276,18.8,16.8,0.7412000000000001,0.6881999999999999,42,44,19.8,15,17.2,15
22100127,2021-11-05,1610612761,1610612739,false,true,101,102,102,101,20,22,8,3,10,4,99,83,0.424,0.458,27,30,0.444,0.333,9,19,0.556,0.842,45,39,19,13,10,18,8,10,0.4,0.6,102.8,99.4,104.2,98,19.6,21.6,3.8,3.8,10.8,9.4,90.2,86.2,0.43019999999999997,0.42479999999999996,32.2,30.2,0.334,0.2844,21.2,22.8,0.7074,0.775,46.2,47.6,20,16,14.4,17.4
22100132,2021-11-05,1610612758,1610612766,true,false,140,110,110,140,29,29,1,5,5,8,87,92,0.552,0.467,44,35,0.5,0.314,26,21,0.846,0.619,56,28,21,19,18,10,6,8,0.6,0.6,110.6,109,109.2,109.2,23.4,23.8,4.2,3.6,8.2,11,91.2,89.8,0.4556,0.453,41.2,33,0.3166,0.36700000000000005,20.2,20.2,0.7278,0.7819999999999999,47.2,44,20,15.6,14,14.8
22100126,2021-11-05,1610612764,1610612763,true,false,115,87,87,115,34,19,6,4,4,12,84,96,0.583,0.354,25,31,0.4,0.194,13,17,0.538,0.765,53,39,13,15,19,9,7,8,0.6,0.4,116,108.6,115.8,114,23,25.6,6.2,4.6,5.8,11,92.6,94,0.4438000000000001,0.4288,36.6,41.2,0.36100000000000004,0.3458,25.2,19,0.8226000000000001,0.7558,49.4,48.6,18.4,20,12,18.2
22100131,2021-11-05,1610612757,1610612754,true,false,110,106,106,110,27,28,4,2,7,8,82,88,0.488,0.489,39,42,0.436,0.333,15,10,0.867,0.6,42,40,15,18,14,11,7,7,0.6,0.2,115,112.6,104.8,116.2,21.8,24.2,5,7.4,8,6.4,88,89.6,0.47759999999999997,0.4776000000000001,38.2,35.6,0.37,0.3464,22,19,0.734,0.7562,50.6,45.8,18,23.2,15.4,17.6
22100130,2021-11-05,1610612744,1610612740,true,false,126,85,85,126,36,23,4,3,10,6,91,88,0.516,0.352,50,44,0.4,0.25,14,16,0.857,0.75,49,42,16,18,11,19,8,9,0.8,0.2,110.4,101.4,97.6,109.2,30,21,5.6,4.8,9,8,90.4,88,0.46180000000000004,0.421,43.2,34.4,0.3942,0.35219999999999996,15.6,18.6,0.655,0.8454,53.4,49.2,18.6,18.8,19.8,20.4
22100128,2021-11-05,1610612749,1610612752,false,true,98,113,113,98,19,16,5,4,5,12,82,96,0.402,0.427,43,40,0.372,0.25,21,26,0.762,0.808,37,59,20,17,15,15,7,6,0.2,0.8,105.2,112.6,108,105.2,20.8,24.4,4.8,5.4,8,7,94.4,85,0.4252000000000001,0.46880000000000005,43.2,38.4,0.2954,0.41380000000000006,15.8,22.2,0.7678,0.7260000000000001,47.4,43.8,19,21.6,12.8,12.8
22100125,2021-11-05,1610612753,1610612759,false,true,89,102,102,89,23,23,12,7,9,11,89,90,0.393,0.444,41,19,0.293,0.316,10,18,0.7,0.889,43,48,13,14,18,13,6,7,0.2,0.4,97.8,103.2,107.2,106,20.4,26.6,5.8,4.6,8,9.2,84.2,89.8,0.42700000000000005,0.462,36.8,29.6,0.3426,0.3438,16.4,15,0.8150000000000001,0.6722,42,42.8,17.4,14.8,17.4,16.6
22100137,2021-11-06,1610612756,1610612737,true,false,121,117,117,121,26,18,6,1,8,3,88,97,0.511,0.433,43,33,0.326,0.394,21,23,0.81,0.87,42,50,22,16,12,12,8,8,0.6,0.2,108.2,102,104.6,112.2,26.8,22.8,4.8,3,9.4,5.4,87.8,94.4,0.4654,0.43220000000000003,28.4,28.4,0.33599999999999997,0.31639999999999996,21.8,16,0.7802,0.7342000000000001,48.2,50.6,17.8,17.2,15,13.2
22100138,2021-11-06,1610612757,1610612747,true,false,105,90,90,105,22,20,7,5,14,8,95,90,0.379,0.344,55,32,0.273,0.281,24,24,0.75,0.792,52,59,21,17,12,19,8,6,0.8,0.2,118.4,114.2,104.6,119.6,23.8,24,5.2,5.2,7.8,8,90.2,93.2,0.47940000000000005,0.4673999999999999,40.2,32.8,0.41580000000000006,0.321,20.2,22.2,0.749,0.7525999999999999,50,49.6,18.2,22,12.8,18
22100136,2021-11-06,1610612742,1610612738,true,false,107,104,104,107,19,20,6,2,7,6,78,86,0.526,0.488,39,31,0.333,0.29,14,16,0.857,0.688,40,36,18,14,15,11,7,9,0.8,0.8,111.4,109.2,108.6,99.6,23.8,23.6,5.8,7.6,7,8,90.4,90.2,0.45520000000000005,0.43260000000000004,40,40.2,0.3096,0.2872,25,23,0.6164,0.8019999999999999,48.2,49.2,21.6,22.6,12.4,12.6
22100135,2021-11-06,1610612741,1610612755,false,true,105,114,114,105,20,22,1,5,7,6,92,81,0.402,0.531,29,26,0.241,0.5,30,19,0.8,0.789,46,41,19,22,9,14,8,7,0.8,0.6,110.6,109.6,100.4,104.4,24.6,23,6,6,9.8,8,88.2,84.8,0.453,0.47400000000000003,26.8,33.4,0.38239999999999996,0.4064,24,20.6,0.8452,0.7828,42.6,44.2,16.6,17.2,11.2,13.4
22100134,2021-11-06,1610612748,1610612762,true,false,118,115,115,118,30,26,1,3,3,10,78,83,0.603,0.518,21,45,0.524,0.333,17,19,0.765,0.737,36,31,18,19,14,6,8,8,0.8,0.8,111.4,110.8,95.8,98.4,23.2,19.6,2,5.6,8.4,7.8,88.8,84.6,0.45640000000000003,0.4492000000000001,33.6,40.8,0.3056,0.35140000000000005,23.4,24.4,0.852,0.8564,50.4,50.6,20.6,18.2,15.4,17.8
22100146,2021-11-07,1610612746,1610612766,true,false,120,106,106,120,24,20,5,2,8,13,86,101,0.477,0.406,48,33,0.375,0.303,21,18,0.952,0.778,50,44,16,21,20,13,8,9,0.4,0.4,101.6,106.4,104,114.8,24.6,23.2,5.2,4.4,11.4,10,92.4,90,0.4122,0.441,40.6,33.6,0.2998,0.3486,16.8,21,0.7692,0.741,43.6,40.4,20.6,16.2,14.4,13.2
22100145,2021-11-07,1610612744,1610612745,true,false,120,107,107,120,31,17,3,3,12,11,85,79,0.518,0.456,46,33,0.326,0.303,20,37,0.85,0.676,41,42,28,16,17,21,9,9,0.8,0,111.8,102.6,95.2,109.6,31,22.6,5.4,4,9.2,7,88.4,83.2,0.4758,0.4532,44,33.8,0.40459999999999996,0.32699999999999996,14.8,23.8,0.682,0.6300000000000001,51.8,46.4,18.2,19.4,17.6,21
22100143,2021-11-07,1610612758,1610612754,false,true,91,94,94,91,20,13,6,7,14,8,84,83,0.369,0.446,34,25,0.294,0.24,22,18,0.864,0.778,33,54,18,24,12,21,7,8,0.6,0,115.2,112,110,118.2,24.8,24.8,4,6.4,7.4,6,90,89.4,0.47140000000000004,0.4742,40.6,36.2,0.34859999999999997,0.3514,21.6,18.8,0.7602,0.7489999999999999,48.2,43.8,20.8,22,14.2,15.4
